district,transaction type,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,subsidiary building area,balcony area,elevator
中正區,房地(土地+建物),延平南路181~210號,27.64,都市：其他:第三種住宅區。,,,1090908,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,700216,181.64,4,2,2,有,有,29000000,159656,,0,0,受債權債務關係影響或債務抵償;,RPUNMLPLRHPFFAA98EA,137.67,0,23.35,有
中正區,房地(土地+建物),羅斯福路四段40巷1~30號,41.39,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第貳種商業區應依建築線或俟地籍測量分割後，再確定)。,,,1090706,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,800112,132.87,4,2,2,有,無,25500000,191917,,0,0,,RPPNMLQLRHPFFAA58EA,115.19,1.03,12.3,無
內湖區,房地(土地+建物)+車位,康寧路三段70巷1~30號,22.65,都市：其他:第三種住宅區。,,,1090724,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940811,136.33,3,2,1,有,有,22300000,163138,坡道平面,14.96,2500000,,RPPPMLNLRHPFFCA68EA,53.78,2.81,4.81,有
內湖區,房地(土地+建物)+車位,成功路二段481~510號,18.02,都市：其他:第三之一種住宅區。,,,1090915,土地3建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011123,111.39,3,2,2,有,有,15000000,134662,坡道平面,0,0,親友、員工、共有人或其他特殊關係間之交易;,RPURMLOLRHPFFCA86EA,54.95,4.12,5.94,有
中山區,房地(土地+建物),明水路541~570號,19.96,都市：其他:第三種住宅區。,,,1090829,土地1建物1車位0,十一層，十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850530,85.08,2,2,1,有,有,20000000,235073,,0,0,,RPVPMLOLRHPFFCA76EA,55.72,1.73,4.93,有
中山區,房地(土地+建物)+車位,中山北路二段121~150號,15.99,都市：其他:第三種商業區。,,,1070201,土地1建物2車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090721,173.63,3,2,2,有,有,56460000,349649,升降機械,19.59,2600000,,RPQRMLPLRHPFFCA56EA,88.61,5,8.75,有
中山區,房地(土地+建物)+車位,民權東路二段1~30號,55.65,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區) 但是否在第三種商業區(原屬第參之貳種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,,,1090707,土地1建物1車位2,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,730406,560.69,0,0,0,無,有,88000000,156949,坡道平面,0,0,陽台外推;,RPVRMLPLRHPFFCA07EA,371.04,0,66.96,有
中山區,房地(土地+建物),中山北路二段65巷2弄1~30號,9.58,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090821,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,990902,51.21,1,1,1,有,有,12800000,249951,,0,0,,RPQPMLQLRHPFFCA09EA,27.86,0.63,3.31,有
內湖區,房地(土地+建物)+車位,星雲街161巷1~30號,33.99,都市：其他:第三種住宅區。,,,1090830,土地1建物1車位2,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961026,254.05,4,2,2,有,有,62600000,246408,坡道平面,54.28,0,陽台外推;其他增建;,RPUPMLPLRHPFFCA76EA,119.25,8.16,17.24,有
中山區,房地(土地+建物)+車位,中山北路一段83巷31~60號,19.43,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090803,土地2建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970314,196.88,3,1,2,有,有,38000000,193011,坡道平面,40.56,0,,RPWTMLQLRHPFFCA47EA,92.88,0.91,11.71,有
信義區,房地(土地+建物),信義路六段1~30號,27.09,都市：其他:第三種住宅區。,,,1090811,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,760825,141.03,4,2,2,有,無,28380000,201234,,0,0,陽台外推;,RPPNMLQLRHPFFDA88EA,119.23,0,13.73,有
松山區,房地(土地+建物),健康路61~90號,33.75,都市：其他:第三種住宅區。,,,1090904,土地1建物1車位0,一層，平台，騎樓,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,106.37,0,0,0,無,無,25000000,235029,,0,0,增建壹樓後院親友、員工、共有人或其他特殊關係間之交易;其他增建;,RPPNMLPLRHPFFDA78EA,106.37,0,0,無
信義區,房地(土地+建物),福德街271~300號,34.7,都市：其他:第三種住宅區。,,,1090714,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711229,144.08,5,4,3,有,無,18500000,128401,,0,0,,RPOPMLLLRHPFFDA48EA,112.15,8.61,20.94,無
南港區,房地(土地+建物)+車位,經貿二路157巷36弄91~120號,55.2,都市：其他:住宅區(供商務住宅使用)。,,,1090809,土地1建物1車位2,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030306,375.95,3,2,2,有,有,76880000,251672,坡道平面,90.34,5000000,,RPTQMLLLRHPFFDA09EA,171.03,9.56,24.28,有
北投區,房地(土地+建物)+車位,天母西路91~120號,51.29,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1090819,土地2建物1車位3,十六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1081226,398.55,0,2,4,有,無,91300000,307040,坡道平面,130.68,9050000,毛胚屋;,RPPPMLQJQHPFFEA88EA,149.21,13.88,15.27,有
士林區,房地(土地+建物),中山北路五段661~690號,20.62,都市：其他:第一種商業區。,,,1090910,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,750401,222.97,5,2,3,有,有,30000000,134547,,0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVNMLPLRHPFFEA86EA,192.86,1.3,10.92,有
北投區,房地(土地+建物)+車位,永興路二段31~60號,19.38,都市：其他:第三種住宅區。,,,1090903,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030218,116.77,3,2,2,有,有,16800000,148051,其他,10.05,1000000,夾層;,RPXNMLPLRHPFFEA07EA,50.66,9.87,5.21,有
北投區,房地(土地+建物),溫泉路121~150號,33.91,都市：其他:特定休閒旅館住宅專用區。,,,1090621,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721116,126.13,3,2,2,有,無,10600000,84040,,0,0,其他增建;,RPRNMLQLRHPFFEA56EA,72.31,34.6,0,無
北投區,房地(土地+建物)+車位,天母西路117巷31~60號,69.55,都市：其他:第三種住宅區。,,,1090816,土地1建物1車位2,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010817,371.68,3,2,2,有,有,62880000,208703,坡道平面,99.14,6000000,陽台加窗其他增建;,RPXOMLPLRHPFFEA17EA,161.07,7.84,16.75,有
北投區,房地(土地+建物)+車位,天母西路117巷31~60號,74.23,都市：其他:第三種住宅區。,,,1090816,土地1建物1車位2,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010817,390.89,1,2,4,有,有,66000000,205656,坡道平面,99.14,6000000,陽台加窗其他增建;,RPOPMLPLRHPFFEA98EA,171.81,5.75,21.24,有
北投區,房地(土地+建物)+車位,公路167巷1~30號,145.44,都市：其他:第二種住宅區。,,,1090907,土地3建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851104,276.96,4,2,2,有,有,32680000,117995,坡道平面,0,0,其他增建;,RPQPMLQLRHPFFEA66EA,213.91,3.35,15.88,有
大安區,房地(土地+建物),和平東路一段181~210號,2.85,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090814,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970519,32.95,0,1,1,有,有,13000000,394537,,0,0,陽台外推;其他增建;,RPXNMLQLRHPFFFA27EA,17.01,1.3,3.95,有
大安區,房地(土地+建物)+車位,光復南路661~690號,7.74,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1090818,土地3建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060515,112.18,2,2,1,有,有,23740000,211624,坡道機械,0,1500000,親友、員工、共有人或其他特殊關係間之交易;,RPPOMLOLRHPFFFA98EA,51.55,6.8,4.26,有
大安區,房地(土地+建物),光復南路661~690號,3.34,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1090818,土地3建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060515,39.97,1,1,1,有,有,9672000,241981,,0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQOMLOLRHPFFFA09EA,22.45,4.73,0,有
大安區,房地(土地+建物),建國南路一段212巷1~30號,19.57,都市：其他:第三種住宅區。,,,1090811,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670609,90.63,3,1,2,有,無,32000000,353084,,0,0,未登記建物;,RPWNMLSLRHPFFFA37EA,80.27,10.36,0,有
大安區,房地(土地+建物)+車位,瑞安街120巷1~30號,60.5,都市：其他:第三種住宅區。,,,1090824,土地1建物1車位3,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,981203,407.34,4,1,4,有,有,98500000,241813,坡道平面,0,0,,RPQNMLMLRHPFFFA78EA,163.56,5.95,16.54,有
大安區,房地(土地+建物)+車位,瑞安街120巷1~30號,50.43,都市：其他:第三種住宅區。,,,1090824,土地1建物1車位3,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,981203,360.78,4,1,3,有,有,83500000,231443,坡道平面,0,0,,RPRNMLMLRHPFFFA88EA,136.17,3.47,15.26,有
北投區,房地(土地+建物),義理街49巷1~30號,18.5,都市：其他:道路用地(公共設施用地)。66/1/11,,,1090814,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640418,50.7,4,0,2,有,無,3915592,77231,,0,0,親友、員工、共有人或其他特殊關係間之交易;,RPUOMLKMRHPFFEA09EA,50.7,0,0,無
士林區,房地(土地+建物),天玉街1~30號,33.25,都市：其他:第三種住宅區。,,,1090818,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,751111,165.02,4,2,2,有,有,29000000,175736,,0,0,陽台外推;,RPWPMLQJQHPFFEA96EA,133.2,0,22.38,有
信義區,房地(土地+建物),莊敬路181~210號,20.3,都市：其他:第貳種商業區(依都市計畫說明書圖規定辦理，始得作第貳種商業區使用)(原屬第參種住宅區)。,,,1090820,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670425,129.9,3,2,2,有,無,29500000,227098,,0,0,陽台外推;,RPUQMLLLRHPFFDA56EA,110.91,0,10.67,有
信義區,房地(土地+建物),吳興街284巷19弄1~30號,30.02,都市：其他:第三種住宅區。,,,1090828,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750904,106.79,3,2,2,有,無,14000000,131098,,0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVQMLLLRHPFFDA66EA,90.4,0,12.72,無
信義區,房地(土地+建物),吳興街368巷1~30號,22.6,都市：其他:第三種住宅區。,,,1090830,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,790115,88.08,3,2,2,有,無,13880000,157584,,0,0,,RPPQMLLLRHPFFDA68EA,69.65,0.8,7.62,無
南港區,房地(土地+建物)+車位,經貿二路255巷1~30號,32.92,都市：其他:住宅區(供商務住宅使用)。,,,1090908,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991201,163.26,3,2,2,有,有,30500000,241442,坡道平面,47.29,2500000,,RPTPMLLLRHPFFDA98EA,65.57,3.19,8.06,有
松山區,房地(土地+建物),八德路四段72巷16弄1~30號,8.46,都市：其他:第三種住宅區。,,,1090829,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,791117,41.72,1,1,1,有,無,8500000,203739,,0,0,,RPQOMLQLRHPFFDA09EA,30.03,0,0,有
信義區,房地(土地+建物),崇德街63巷1~30號,48.5,都市：其他:第三種住宅區。,,,1090721,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,124.01,3,2,2,有,無,28900000,233046,,0,0,其他增建;未登記建物;,RPSOMLQLRHPFFDA66EA,107.15,16.86,0,無
中山區,房地(土地+建物),中山北路二段59巷3弄1~30號,19.75,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090827,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,631021,74.19,2,1,1,有,無,15000000,202184,,0,0,親友、員工、共有人或其他特殊關係間之交易;,RPPVMLQLRHPFFCA96EA,70.11,4.08,0,無
中山區,房地(土地+建物)+車位,長安東路二段151~180號,8.2,都市：其他:第二種商業區。,,,1090829,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050411,148.88,2,1,1,有,有,31680000,300302,升降平面,52.71,2800000,,RPUQMLQKRHPFFCA86EA,0,0,0,有
萬華區,房地(土地+建物)+車位,萬大路423巷31~60號,40.52,都市：其他:第三之一種住宅區。,,,1090802,土地4建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970103,189.3,3,2,2,有,有,27230000,143846,坡道平面,0,2500000,其他增建;,RPOPMLMLRHPFFBA38EA,103.07,0,9.77,有
大安區,房地(土地+建物),忠孝東路三段181~210號,19.58,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090809,土地2建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760423,107.72,3,2,2,有,有,26570000,246658,,0,0,陽台外推;其他增建;,RPXNMLNJRHPFFFA66DA,68.05,0,10.54,有
大安區,房地(土地+建物),潮州街31~60號,14.72,都市：其他:第三種住宅區。,,,1090814,土地1建物2車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,771230,85.94,2,2,1,有,無,19800000,230393,,0,0,陽台外推;,RPPNMLLKRHPFFFA38DA,46.75,4.26,8.97,有
大安區,房地(土地+建物),和平東路三段61~90號,15.2,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090623,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,730323,165.22,4,2,2,有,有,34500000,208812,,0,0,其他增建;,RPRPMLSJRHPFFFA76DA,149.94,0,4.74,有
北投區,房地(土地+建物)+車位,文林北路121~150號,13.42,都市：其他:第三之二種住宅區。,,,1090825,土地1建物1車位1,八層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,193.4,3,2,2,有,有,43620000,229497,坡道平面,15.01,2680000,,RPQOMLQLRHPFFEA09DA,92.25,10.45,8.32,有
北投區,房地(土地+建物)+車位,磺港路121~150號,39.11,都市：其他:第三種住宅區。,,,1090909,土地1建物1車位3,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030619,335.18,3,2,2,有,有,44680000,133302,坡道平面,99.33,0,,RPUNMLQLRHPFFEA76DA,175.27,11.67,13.54,有
北投區,房地(土地+建物),稻香路161巷1~30號,11.9,都市：其他:第三種住宅區。,,,1090831,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930312,61.34,1,1,1,有,有,6900000,112488,,0,0,陽台外推;夾層;未登記建物;,RPOQMLPLRHPFFEA98DA,36.14,2.44,3.63,有
士林區,房地(土地+建物)+車位,福華路1~30號,53.86,都市：其他:第三種住宅區。,,,1090824,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,791005,197.71,4,2,2,有,無,36000000,182085,坡道平面,0,0,其他增建;,RPPQMLPLRHPFFEA09DA,165.18,8.29,15.52,有
士林區,房地(土地+建物)+車位,環河北路三段181~210號,28.94,都市：其他:第三種住宅區。,,,1090901,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061214,214.51,4,2,2,有,有,24600000,114680,升降機械,13.32,0,,RPOPMLOLRHPFFEA78DA,109.65,10.43,12.12,有
北投區,房地(土地+建物)+車位,泉源路31~60號,53.84,都市：其他:第三種住宅區。,,,1090817,土地1建物1車位4,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050315,404.95,2,2,2,有,有,55580000,168891,坡道平面,123.24,8000000,,RPTOMLRKRHPFFEA76DA,162.88,6.71,15.19,有
信義區,房地(土地+建物),逸仙路32巷1~30號,25.99,都市：其他:第四種住宅區。,,,1090710,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.86,2,1,1,有,無,45100000,315694,,0,0,陽台外推;頂樓加蓋;其他增建;,RPSOMLLJRHPFFDA48DA,106.18,16.29,10.7,有
信義區,房地(土地+建物),逸仙路32巷1~30號,16.61,都市：其他:第四種住宅區。,,,1090710,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.18,1,1,2,有,無,28780000,315639,,0,0,陽台外推;頂樓加蓋;其他增建;,RPTOMLLJRHPFFDA58DA,66.44,12.28,6.4,有
南港區,房地(土地+建物),重陽路292巷1~30號,65,都市：其他:第三種住宅區。,,,1090901,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,68.88,4,2,1,有,無,25000000,362950,,0,0,頂樓加蓋;,RPPPMLMJRHPFFDA38DA,68.88,0,0,無
南港區,房地(土地+建物)+車位,研究院路二段12巷1~30號,32.7,都市：其他:第三種住宅區。,,,1090807,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971209,197.47,3,2,2,有,有,28980000,146756,升降平面,0,0,其他增建;,RPXNMLQLRHPFFDA96DA,95.95,13.35,9.22,有
信義區,房地(土地+建物),中坡南路91~120號,22.43,都市：其他:第三種住宅區。,,,1090813,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,780505,139.75,4,2,2,有,有,22000000,157424,,0,0,,RPUQMLOLRHPFFDA76DA,111.78,0.35,11.13,有
信義區,房地(土地+建物),中坡南路215巷1~30號,21.74,都市：其他:第三種住宅區。,,,1090825,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,108.6,3,2,2,有,有,17100000,157459,,0,0,陽台外推;,RPXNMLLKRHPFFDA98DA,75.53,0,10.66,無
南港區,房地(土地+建物),成福路64巷1~30號,36.5,都市：其他:第三種住宅區。,,,1090825,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,86.26,3,2,1,有,無,16000000,185486,,0,0,其他增建;,RPROMLLKRHPFFDA48DA,86.26,0,0,無
內湖區,房地(土地+建物),麗山街62巷12弄1~30號,31.88,都市：其他:第三種住宅區。,,,1090901,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661117,101.41,3,2,2,有,無,21000000,207080,,0,0,陽台外推;,RPOSMLPLRHPFFCA98DA,0,0,0,無
內湖區,房地(土地+建物),南京東路六段91~120號,49.24,都市：其他:住宅區(供拆遷安置專案住宅使用)。,,,1090912,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860526,129.84,3,2,2,有,有,18300000,140943,,0,0,陽台外推;,RPRSMLPLRHPFFCA66DA,0,0,0,有
內湖區,房地(土地+建物),民權東路六段296巷31~60號,32.16,都市：其他:第三種住宅區。,,,1090816,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840117,107.47,3,2,2,有,有,21100000,196334,,0,0,其他增建;,RPWOMLQLRHPFFCA86DA,0,0,0,有
中山區,房地(土地+建物),敬業三路162巷31~60號,47.09,都市：其他:住宅區(供拆遷安置專案住宅使用)。,,,1090819,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,890628,155.47,2,2,2,有,有,29080000,187046,,0,0,其他增建;,RPQUMLQLRHPFFCA86DA,0,0,0,有
中山區,房地(土地+建物),長安東路一段31~60號,31,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1090819,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,690204,162.72,2,1,1,有,有,24750000,152102,,0,0,其他增建;,RPXPMLSJRHPFFCA07DA,0,0,0,有
中山區,房地(土地+建物),雙城街4巷1~30號,11.06,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090503,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,831018,80.97,1,1,1,有,有,15460000,190935,,0,0,陽台外推;其他增建;,RPQNMLKLQHPFFCA08DA,0,0,0,有
中山區,房地(土地+建物)+車位,植福路286巷1~30號,64.35,都市：其他:娛樂區(供觀光旅館使用)。,,,1090818,土地1建物1車位3,十層,四十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031229,585.72,0,0,0,無,有,223570000,450765,坡道平面,113.7,10800000,,RPPOMLSJIIPFFCA97DA,298.86,0,33.45,有
中山區,房地(土地+建物)+車位,植福路286巷1~30號,66.87,都市：其他:娛樂區(供觀光旅館使用)。,,,1090818,土地1建物1車位3,十層,四十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031229,594.33,0,0,0,無,有,228180000,449993,坡道平面,113.7,11900000,,RPQOMLSJIIPFFCA08DA,298.09,0,40.46,有
中山區,房地(土地+建物)+車位,植福路286巷1~30號,64.35,都市：其他:娛樂區(供觀光旅館使用)。,,,1090818,土地1建物1車位3,十一層,四十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031229,587.15,0,0,0,無,有,231910000,464484,坡道平面,113.7,12000000,,RPROMLSJIIPFFCA18DA,298.86,1.43,33.45,有
中山區,房地(土地+建物)+車位,植福路286巷1~30號,66.87,都市：其他:娛樂區(供觀光旅館使用)。,,,1090818,土地1建物1車位3,十一層,四十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031229,594.33,0,0,0,無,有,235550000,465119,坡道平面,113.7,12000000,,RPTOMLSJIIPFFCA38DA,298.09,0,40.46,有
萬華區,房地(土地+建物),萬大路486巷37弄1~30號,15.75,都市：其他:第三種住宅區。,,,1090825,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,580213,44.53,2,1,1,有,無,5000000,112284,,0,0,陽台外推;,RPTRMLOLRHPFFBA56DA,44.53,0,0,無
中正區,建物,濟南路二段31~60號,0,,,,1090724,土地0建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,590719,42.76,3,2,1,有,無,2400000,56127,,0,0,親友、員工、共有人或其他特殊關係間之交易;,RPPNMLQJRHPFFBA38DA,42.76,0,0,無
中正區,房地(土地+建物),信義路二段91~120號,5.07,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090813,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,701231,62.24,1,1,1,有,有,16450000,264299,,0,0,其他增建;,RPQOMLLJRHPFFBA08DA,50.08,0,0,有
中正區,房地(土地+建物),門街71巷1~30號,18,都市：其他:第三種住宅區。,,,1090909,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710504,57.56,6,0,6,有,無,11250000,195448,,0,0,陽台外推;頂樓加蓋;,RPOOMLSLRHPFFAA68DA,52.18,0,5.38,無
文山區,房地(土地+建物)+車位,辛亥路四段77巷1~30號,43.52,都市：其他:第二種住宅區。,,,1090811,土地4建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851107,116.9,2,1,1,有,有,15500000,132592,坡道平面,0,2000000,,RPPOMLSLRHPFFAA78DA,53.28,0.65,6.55,有
文山區,房地(土地+建物)+車位,木新路二段299巷7弄1~30號,36.31,都市：其他:第三種住宅區。,,,1090906,土地1建物1車位1,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,790317,131.02,3,2,2,有,無,15150000,115640,坡道平面,0,0,,RPVOMLSLRHPFFAA76DA,107.65,4.94,7.28,無
萬華區,房地(土地+建物)+車位,長沙街二段121~150號,14.98,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第肆種住宅區)。,,,1090717,土地2建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080304,198.9,3,2,2,有,有,30200000,176644,坡道平面,43.22,2700000,,RPTNMLRKRHPFFBA98DA,84.45,5.62,13.02,有
萬華區,房地(土地+建物),青年路68巷3弄1~30號,53.46,都市：其他:第三種住宅區。,,,1090802,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,711027,157.16,4,2,2,有,有,21400000,136167,,0,0,其他增建;,RPPOMLSLRHPFFBA88DA,120.17,0,15.96,有
大同區,房地(土地+建物),重慶北路一段83巷31~60號,25,都市：其他:第三種商業區。,,,1090619,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640327,89.27,3,2,2,有,無,13200000,147866,,0,0,,RPROMLSLRHPFFBA09DA,84,0,5.27,無
內湖區,房地(土地+建物),環山路三段16巷3弄1~30號,30.97,都市：其他:第三種住宅區。,,,1090919,土地4建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691231,105.4,4,0,4,有,無,16000000,151803,,0,0,,RPUOMLSLRHPFFCA86DA,90.2,0,15.2,無
內湖區,房地(土地+建物)+車位,康寧路三段56巷121~150號,33.64,都市：其他:第三種住宅區。,,,1090831,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971031,226.18,3,2,2,有,有,33680000,148908,坡道平面,0,0,其他增建;,RPPNMLSLRHPFFCA88DA,80.88,2.39,9.2,有
