district,transaction type,land shifting total area,transaction year,num_building,num_land,num_garage,total floor number,building state,main building materials,construction to complete the years,building shifting total area,num_room,num_bathroom,compartment,management org,carpark type,carpark shifting area,carpark total price,main building area,subsidiary building area,balcony area,elevator,total ntd,unit ntd,complete year
Zhongshan District,Land+Building+Garage,10.45,109,1,2,1,17.0,Apartment_11storeyorgreater,Reinforced Concrete,108.0,102.6,0,0,0,1,Ramp Plane,38.04,2300000,38.3,1.67,3.17,1,18580000,252169,108.0
Zhongshan District,Land+Building+Garage,8.39,109,1,1,1,14.0,Apartment_11storeyorgreater,Reinforced Concrete,99.0,113.43,1,1,1,1,Ramp Machinery,0.0,0,51.75,3.12,5.86,1,21000000,185136,99.0
Zhongshan District,Land+Building,5.92,109,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,70.0,61.36,1,1,1,1,No carpark,0.0,0,50.89,0.0,1.59,1,15800000,257497,70.0
Datong District,Land+Building,10.08,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,97.0,50.62,1,1,1,1,No carpark,0.0,0,28.6,0.0,4.29,1,10000000,197550,97.0
Wanhua District,Land+Building,6.65,109,1,1,0,14.0,Apartment_11storeyorgreater,Reinforced Concrete,95.0,76.33,2,2,1,1,No carpark,0.0,0,47.59,0.0,3.03,1,14300000,187344,95.0
Wenshan District,Land+Building+Garage,28.29,109,1,1,1,8.0,Apartment_5to10storey,Reinforced Concrete,83.0,143.4,3,2,1,1,Ramp Plane,0.0,0,72.17,4.87,8.8,1,20500000,142957,83.0
ZhongZheng District,Land+Building+Garage,37.95,109,1,1,1,6.0,Apartment_5to10storey,Reinforced Concrete,84.0,144.63,3,2,1,0,Lifting Plane,0.0,0,91.23,1.4,10.77,1,26500000,183226,84.0
Wenshan District,Land+Building+Garage,35.88,109,1,1,1,10.0,Apartment_5to10storey,Reinforced Concrete,85.0,149.58,3,2,1,1,Ramp Plane,0.0,0,89.27,1.25,10.41,1,24800000,165798,85.0
Wenshan District,Land+Building,22.78,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,73.0,106.47,3,2,1,1,No carpark,0.0,0,80.37,0.0,11.59,1,12000000,112708,73.0
Wenshan District,Land+Building,22.18,109,1,2,0,7.0,Apartment_5to10storey,Reinforced Concrete,71.0,108.12,3,2,1,0,No carpark,0.0,0,89.63,0.0,14.51,1,22800000,210877,71.0
Wenshan District,Land+Building,77.68,109,1,5,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,85.0,127.07,3,2,1,1,No carpark,0.0,0,90.68,3.86,11.99,1,21500000,169198,85.0
